INTEGRATION_NAME,COUNT(DISTINCT FACT_ORG_ENABLED_DATADOG_INTEGRATION_DAILY.ORG_ID)
avm consulting workday,5
cortex,5
ilert,5
agentil software sap businessobjects,5
calico,5
scalr (community version),5
resin,4
fairwinds insights,4
vespa,4
rapdev services,4
gitea,4
neutrona,3
statsig license,3
crest data systems microsoft defender,3
netnology sd-wan,3
pliant,3
superwise,3
nobl9,3
sedai,3
stackpulse,2
visium technologies cygraph,2
edgecast,2
riak mdc replication,2
neoload,2
unitq,2
insightfinder license,2
impala,2
drata,2
mainstorconcept-ziris,2
blink,1
zoom,1
