metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
vertica.connection.active,gauge,,connection,,The current number of connections to a node.,0,vertica,,
vertica.connection.total,count,,connection,,The total number of connections to a node.,0,vertica,,
vertica.delete_vectors,gauge,,item,,The total number of delete vectors.,-1,vertica,,
vertica.disk.used,gauge,,byte,,The total disk space (compressed) used in bytes.,-1,vertica,,
vertica.disk.used.ros,gauge,,byte,,[Only versions <= 10] The total ROS disk space (compressed) used in bytes.,-1,vertica,,
vertica.disk.used.wos,gauge,,byte,,[Only versions <= 10] The total WOS disk space (compressed) used in bytes.,-1,vertica,,
vertica.epoch.ahm,gauge,,time,,The current epoch number.,0,vertica,,
vertica.epoch.current,gauge,,time,,The AHM epoch number.,0,vertica,,
vertica.epoch.last_good,gauge,,time,,The smallest (min) of all the checkpoint epochs on the cluster.,0,vertica,,
vertica.file.max,gauge,,file,,The maximum number of files that can be open at one time.,1,vertica,,
vertica.file.open,gauge,,file,,The number of open files.,-1,vertica,,
vertica.ksafety.current,gauge,,node,,The number of node failures the cluster can tolerate before it shuts down automatically.,1,vertica,,
vertica.ksafety.intended,gauge,,node,,The designed or intended K-safety level.,0,vertica,,
vertica.license.expiration,gauge,,second,,The time until license expiration.,1,vertica,,
vertica.license.latest_audit,gauge,,second,,The time elapsed since the latest license audit was triggered.,-1,vertica,,
vertica.license.size,gauge,,byte,,The total size of the license in bytes.,0,vertica,,
vertica.license.usable,gauge,,byte,,The total usable size of the license in bytes.,1,vertica,,
vertica.license.used,gauge,,byte,,The total used size of the license in bytes.,-1,vertica,,
vertica.license.utilized,gauge,,percent,,The utilization of the license as a percentage.,-1,vertica,,
vertica.memory.swap.total,gauge,,byte,,The total amount of swap memory in bytes.,0,vertica,,
vertica.memory.swap.usable,gauge,,byte,,The total usable amount of swap memory in bytes.,1,vertica,,
vertica.memory.swap.used,gauge,,byte,,The total used amount of swap memory in bytes.,-1,vertica,,
vertica.memory.swap.utilized,gauge,,percent,,The utilization of swap memory as a percentage.,-1,vertica,,
vertica.memory.total,gauge,,byte,,The total amount of physical RAM in bytes.,0,vertica,,
vertica.memory.usable,gauge,,byte,,The total usable amount of physical RAM in bytes.,1,vertica,,
vertica.memory.used,gauge,,byte,,The total used amount of physical RAM in bytes.,-1,vertica,,
vertica.memory.utilized,gauge,,percent,,The utilization of physical RAM as a percentage.,-1,vertica,,
vertica.node.allowed,gauge,,node,,The number of nodes permitted for use by the license.,1,vertica,,
vertica.node.available,gauge,,node,,The number of available nodes remaining based on the license limit.,1,vertica,,
vertica.node.delete_vectors,gauge,,item,,The number of delete vectors in nodes.,-1,vertica,,
vertica.node.disk.used,gauge,,byte,,The total disk space used by nodes in bytes.,-1,vertica,,
vertica.node.disk.used.ros,gauge,,byte,,[Only versions <= 10] The ROS disk space used by nodes in bytes.,-1,vertica,,
vertica.node.disk.used.wos,gauge,,byte,,[Only versions <= 10] The WOS disk space used by nodes in bytes.,-1,vertica,,
vertica.node.down,gauge,,node,,The number of nodes that are currently down.,-1,vertica,,
vertica.node.resource_requests,gauge,,resource,,"The cumulative number of requests for threads, file handles, and memory (in kilobytes).",0,vertica,,
vertica.node.ros.containers,gauge,,resource,,The number of ROS containers in nodes.,-1,vertica,,
vertica.node.row.ros,gauge,,row,,[Only versions <= 10] The number of ROS rows in nodes.,0,vertica,,
vertica.node.row.total,gauge,,row,,The total number of rows in nodes.,0,vertica,,
vertica.node.row.wos,gauge,,row,,[Only versions <= 10] The number of WOS rows in nodes.,0,vertica,,
vertica.node.total,gauge,,node,,The number of nodes currently in use.,0,vertica,,
vertica.processor.core,gauge,,core,,The number of processor cores in the system.,1,vertica,,
vertica.processor.cpu,gauge,,cpu,,The number of system processors.,1,vertica,,
vertica.projection.delete_vectors,gauge,,item,,The number of delete vectors in projections.,-1,vertica,,
vertica.projection.disk.used,gauge,,byte,,The total disk space used by projections in bytes.,-1,vertica,,
vertica.projection.disk.used.ros,gauge,,byte,,[Only versions <= 10] The ROS disk space used by projections in bytes.,-1,vertica,,
vertica.projection.disk.used.wos,gauge,,byte,,[Only versions <= 10] The WOS disk space used by projections in bytes.,-1,vertica,,
vertica.projection.ros.containers,gauge,,resource,,The number of ROS containers in projections.,-1,vertica,,
vertica.projection.row.ros,gauge,,row,,[Only versions <= 10] The number of ROS rows in projections.,0,vertica,,
vertica.projection.row.total,gauge,,row,,The total number of rows in projections.,0,vertica,,
vertica.projection.row.wos,gauge,,row,,[Only versions <= 10] The number of WOS rows in projections.,0,vertica,,
vertica.projection.total,gauge,,table,,The total number of projections.,0,vertica,,
vertica.projection.unsafe,gauge,,table,,The number of projections that are not up to date.,-1,vertica,,
vertica.projection.unsafe_percent,gauge,,percent,,The percentage of projections that are not up to date.,-1,vertica,,
vertica.projection.unsegmented,gauge,,table,,The number of projections that are not segmented.,-1,vertica,,
vertica.projection.unsegmented_percent,gauge,,percent,,The percentage of projections that are not segmented.,-1,vertica,,
vertica.query.active,gauge,,query,,The current number of queries running on a node.,0,vertica,,
vertica.query.total,count,,query,,The total number of queries executed on a node.,0,vertica,,
vertica.resource_pool.memory.borrowed,gauge,,byte,,The amount of memory borrowed from the GENERAL pool by requests running against pools.,-1,vertica,,
vertica.resource_pool.memory.max,gauge,,byte,,The value of the MAXMEMORYSIZE parameter as defined for pools.,0,vertica,,
vertica.resource_pool.memory.used,gauge,,byte,,The amount of memory acquired by requests running against pools.,-1,vertica,,
vertica.resource_pool.query.running,gauge,,query,,The number of queries currently executing in pools.,0,vertica,,
vertica.ros.containers,gauge,,resource,,The total number of ROS containers.,-1,vertica,,
vertica.row.ros,gauge,,row,,[Only versions <= 10] The total number of ROS rows.,0,vertica,,
vertica.row.total,gauge,,row,,The total number of rows.,0,vertica,,
vertica.row.wos,gauge,,row,,[Only versions <= 10] The total number of WOS rows.,0,vertica,,
vertica.socket.open,gauge,,file,,The number of open sockets.,-1,vertica,,
vertica.storage.latency,gauge,,read,second,The latency of a storage location in seeks per second.,-1,vertica,,
vertica.storage.size,gauge,,byte,,The total size of a storage location in bytes.,0,vertica,,
vertica.storage.speed,gauge,,second,,The time (in seconds) it takes to read 1 mebibyte from a storage location.,-1,vertica,,
vertica.storage.throughput,gauge,,mebibyte,second,The throughput of a storage location in mebibytes per second.,-1,vertica,,
vertica.storage.usable,gauge,,byte,,The total usable size of a storage location in bytes.,1,vertica,,
vertica.storage.used,gauge,,byte,,The total used size of a storage location in bytes.,-1,vertica,,
vertica.storage.utilized,gauge,,percent,,The utilization of a storage location as a percentage.,-1,vertica,,
vertica.table.disk.used,gauge,,byte,,The total disk space used by tables in bytes.,-1,vertica,,
vertica.table.disk.used.ros,gauge,,byte,,[Only versions <= 10] The ROS disk space used by tables in bytes.,-1,vertica,,
vertica.table.disk.used.wos,gauge,,byte,,[Only versions <= 10] The WOS disk space used by tables in bytes.,-1,vertica,,
vertica.table.ros.containers,gauge,,resource,,The number of ROS containers in tables.,-1,vertica,,
vertica.table.row.ros,gauge,,row,,[Only versions <= 10] The number of ROS rows in tables.,0,vertica,,
vertica.table.row.total,gauge,,row,,The total number of rows in tables.,0,vertica,,
vertica.table.row.wos,gauge,,row,,[Only versions <= 10] The number of WOS rows in tables.,0,vertica,,
vertica.thread.active,gauge,,thread,,The number of active threads.,-1,vertica,,
vertica.thread.max,gauge,,thread,,The maximum number of threads that can coexist.,1,vertica,,
