metric_name,clickhouse_name,source_table,proposed_tier,tier_type,category
clickhouse.asynchronous_metrics.HashTableStatsCacheEntries,HashTableStatsCacheEntries,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.HashTableStatsCacheHits,HashTableStatsCacheHits,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.HashTableStatsCacheMisses,HashTableStatsCacheMisses,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexMarkCacheBytes,IndexMarkCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexMarkCacheFiles,IndexMarkCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexUncompressedCacheBytes,IndexUncompressedCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexUncompressedCacheCells,IndexUncompressedCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MMapCacheCells,MMapCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MarkCacheBytes,MarkCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MarkCacheFiles,MarkCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheBytes,PageCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheCells,PageCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheMaxBytes,PageCacheMaxBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCachePinnedBytes,PageCachePinnedBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PrimaryIndexCacheBytes,PrimaryIndexCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PrimaryIndexCacheFiles,PrimaryIndexCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.UncompressedCacheBytes,UncompressedCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.UncompressedCacheCells,UncompressedCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysExpired,DictCacheKeysExpired,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysHit,DictCacheKeysHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysNotFound,DictCacheKeysNotFound,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequested,DictCacheKeysRequested,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequestedFound,DictCacheKeysRequestedFound,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequestedMiss,DictCacheKeysRequestedMiss,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheRequestTimeNs,DictCacheRequestTimeNs,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheRequests,DictCacheRequests,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheConnectAttempts,DistrCacheConnectAttempts,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheDataPacketsBytes,DistrCacheDataPacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheGetClient,DistrCacheGetClient,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheHashRingRebuilds,DistrCacheHashRingRebuilds,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheIgnoredBytesWhileWaitingProfileEvents,DistrCacheIgnoredBytesWhileWaitingProfileEvents,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCachePackets,DistrCachePackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCachePacketsBytes,DistrCachePacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeChange,DistrCacheRangeChange,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeResetBackward,DistrCacheRangeResetBackward,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeResetForward,DistrCacheRangeResetForward,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRegistryUpdates,DistrCacheRegistryUpdates,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerAckRequestPackets,DistrCacheServerAckRequestPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerContinueRequestPackets,DistrCacheServerContinueRequestPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerCredentialsRefresh,DistrCacheServerCredentialsRefresh,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerEndRequestPackets,DistrCacheServerEndRequestPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerNewS3CachedClients,DistrCacheServerNewS3CachedClients,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerReceivedCredentialsRefreshPackets,DistrCacheServerReceivedCredentialsRefreshPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerReusedS3CachedClients,DistrCacheServerReusedS3CachedClients,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerStartRequestPackets,DistrCacheServerStartRequestPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerSwitches,DistrCacheServerSwitches,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheServerUpdates,DistrCacheServerUpdates,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheUnusedDataPacketsBytes,DistrCacheUnusedDataPacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheUnusedPackets,DistrCacheUnusedPackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheUnusedPacketsBytes,DistrCacheUnusedPacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.IcebergMetadataFilesCacheHits,IcebergMetadataFilesCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.IcebergMetadataFilesCacheMisses,IcebergMetadataFilesCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.IcebergMetadataFilesCacheWeightLost,IcebergMetadataFilesCacheWeightLost,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MMappedFileCacheHits,MMappedFileCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MMappedFileCacheMisses,MMappedFileCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MarkCacheEvictedBytes,MarkCacheEvictedBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MarkCacheEvictedFiles,MarkCacheEvictedFiles,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MarkCacheEvictedMarks,MarkCacheEvictedMarks,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MarkCacheHits,MarkCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.MarkCacheMisses,MarkCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.OpenedFileCacheHits,OpenedFileCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.OpenedFileCacheMisses,OpenedFileCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheBytesUnpinnedRoundedToHugePages,PageCacheBytesUnpinnedRoundedToHugePages,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheBytesUnpinnedRoundedToPages,PageCacheBytesUnpinnedRoundedToPages,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheChunkDataHits,PageCacheChunkDataHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheChunkDataMisses,PageCacheChunkDataMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheChunkDataPartialHits,PageCacheChunkDataPartialHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheChunkMisses,PageCacheChunkMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheChunkShared,PageCacheChunkShared,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheHits,PageCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheMisses,PageCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheOvercommitResize,PageCacheOvercommitResize,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheResized,PageCacheResized,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PageCacheWeightLost,PageCacheWeightLost,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PerfCacheMisses,PerfCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PerfCacheReferences,PerfCacheReferences,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PrimaryIndexCacheHits,PrimaryIndexCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.PrimaryIndexCacheMisses,PrimaryIndexCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.RegexpLocalCacheHit,RegexpLocalCacheHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.RegexpLocalCacheMiss,RegexpLocalCacheMiss,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.RegexpWithMultipleNeedlesGlobalCacheHit,RegexpWithMultipleNeedlesGlobalCacheHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.RegexpWithMultipleNeedlesGlobalCacheMiss,RegexpWithMultipleNeedlesGlobalCacheMiss,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.RemoteFSBuffers,RemoteFSBuffers,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.ScalarSubqueriesCacheMiss,ScalarSubqueriesCacheMiss,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.ScalarSubqueriesGlobalCacheHit,ScalarSubqueriesGlobalCacheHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.ScalarSubqueriesLocalCacheHit,ScalarSubqueriesLocalCacheHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheHits,SchemaInferenceCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheMisses,SchemaInferenceCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheNumRowsHits,SchemaInferenceCacheNumRowsHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheNumRowsMisses,SchemaInferenceCacheNumRowsMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheSchemaHits,SchemaInferenceCacheSchemaHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.SchemaInferenceCacheSchemaMisses,SchemaInferenceCacheSchemaMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferFlush,StorageBufferFlush,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedAllMinThresholds,StorageBufferPassedAllMinThresholds,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedBytesFlushThreshold,StorageBufferPassedBytesFlushThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedBytesMaxThreshold,StorageBufferPassedBytesMaxThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedRowsFlushThreshold,StorageBufferPassedRowsFlushThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedRowsMaxThreshold,StorageBufferPassedRowsMaxThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedTimeFlushThreshold,StorageBufferPassedTimeFlushThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.StorageBufferPassedTimeMaxThreshold,StorageBufferPassedTimeMaxThreshold,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.UncompressedCacheHits,UncompressedCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.UncompressedCacheMisses,UncompressedCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.UncompressedCacheWeightLost,UncompressedCacheWeightLost,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.VectorSimilarityIndexCacheHits,VectorSimilarityIndexCacheHits,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.VectorSimilarityIndexCacheMisses,VectorSimilarityIndexCacheMisses,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.VectorSimilarityIndexCacheWeightLost,VectorSimilarityIndexCacheWeightLost,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.AvroSchemaCacheBytes,AvroSchemaCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.AvroSchemaCacheCells,AvroSchemaCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.AvroSchemaRegistryCacheBytes,AvroSchemaRegistryCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.AvroSchemaRegistryCacheCells,AvroSchemaRegistryCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.BackgroundBufferFlushSchedulePoolSize,BackgroundBufferFlushSchedulePoolSize,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.BackgroundBufferFlushSchedulePoolTask,BackgroundBufferFlushSchedulePoolTask,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.CacheDetachedFileSegments,CacheDetachedFileSegments,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.CacheFileSegments,CacheFileSegments,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.CacheWarmerBytesInProgress,CacheWarmerBytesInProgress,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DNSAddressesCacheBytes,DNSAddressesCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DNSAddressesCacheSize,DNSAddressesCacheSize,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DNSHostsCacheBytes,DNSHostsCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DNSHostsCacheSize,DNSHostsCacheSize,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DictCacheRequests,DictCacheRequests,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DistrCacheRegisteredServers,DistrCacheRegisteredServers,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DistrCacheRegisteredServersCurrentAZ,DistrCacheRegisteredServersCurrentAZ,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.DistrCacheServerS3CachedClients,DistrCacheServerS3CachedClients,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.HiveFilesCacheBytes,HiveFilesCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.HiveFilesCacheFiles,HiveFilesCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.HiveMetadataFilesCacheBytes,HiveMetadataFilesCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.HiveMetadataFilesCacheFiles,HiveMetadataFilesCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IcebergMetadataFilesCacheBytes,IcebergMetadataFilesCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IcebergMetadataFilesCacheFiles,IcebergMetadataFilesCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IndexMarkCacheBytes,IndexMarkCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IndexMarkCacheFiles,IndexMarkCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IndexUncompressedCacheBytes,IndexUncompressedCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.IndexUncompressedCacheCells,IndexUncompressedCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.MMapCacheCells,MMapCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.MarkCacheBytes,MarkCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.MarkCacheFiles,MarkCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.MergeJoinBlocksCacheBytes,MergeJoinBlocksCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.MergeJoinBlocksCacheCount,MergeJoinBlocksCacheCount,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.PageCacheBytes,PageCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.PageCacheCells,PageCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.PrimaryIndexCacheBytes,PrimaryIndexCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.PrimaryIndexCacheFiles,PrimaryIndexCacheFiles,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.StorageBufferBytes,StorageBufferBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.StorageBufferRows,StorageBufferRows,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.UncompressedCacheBytes,UncompressedCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.UncompressedCacheCells,UncompressedCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.VectorSimilarityIndexCacheBytes,VectorSimilarityIndexCacheBytes,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.metrics.VectorSimilarityIndexCacheCells,VectorSimilarityIndexCacheCells,system.metrics,FREE,PERFORMANCE,cache_performance
clickhouse.events.AzureCommitBlockList,AzureCommitBlockList,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureCopyObject,AzureCopyObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureCreateContainer,AzureCreateContainer,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureDeleteObjects,AzureDeleteObjects,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureGetObject,AzureGetObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureGetProperties,AzureGetProperties,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureGetRequestThrottlerCount,AzureGetRequestThrottlerCount,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureListObjects,AzureListObjects,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzurePutRequestThrottlerCount,AzurePutRequestThrottlerCount,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.AzureStageBlock,AzureStageBlock,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.IcebergMetadataReturnedObjectInfos,IcebergMetadataReturnedObjectInfos,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueCancelledFiles,ObjectStorageQueueCancelledFiles,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueCommitRequests,ObjectStorageQueueCommitRequests,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueFilteredFiles,ObjectStorageQueueFilteredFiles,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueListedFiles,ObjectStorageQueueListedFiles,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueProcessedFiles,ObjectStorageQueueProcessedFiles,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueProcessedRows,ObjectStorageQueueProcessedRows,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueRemovedObjects,ObjectStorageQueueRemovedObjects,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueSuccessfulCommits,ObjectStorageQueueSuccessfulCommits,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueTrySetProcessingRequests,ObjectStorageQueueTrySetProcessingRequests,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueTrySetProcessingSucceeded,ObjectStorageQueueTrySetProcessingSucceeded,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ObjectStorageQueueUnsuccessfulCommits,ObjectStorageQueueUnsuccessfulCommits,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3Clients,S3Clients,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3CopyObject,S3CopyObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3DeleteObjects,S3DeleteObjects,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3GetObject,S3GetObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3GetObjectAttributes,S3GetObjectAttributes,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3GetRequestThrottlerCount,S3GetRequestThrottlerCount,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3HeadObject,S3HeadObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3ListObjects,S3ListObjects,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3PutObject,S3PutObject,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.S3PutRequestThrottlerCount,S3PutRequestThrottlerCount,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.TinyS3Clients,TinyS3Clients,system.events,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.metrics.AzureRequests,AzureRequests,system.metrics,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.metrics.ObjectStorageQueueRegisteredServers,ObjectStorageQueueRegisteredServers,system.metrics,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.metrics.S3Requests,S3Requests,system.metrics,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.metrics.SharedCatalogNumberOfObjectsInState,SharedCatalogNumberOfObjectsInState,system.metrics,FREE,PERFORMANCE,cloud_storage_performance
clickhouse.events.ExternalJoinCompressedBytes,ExternalJoinCompressedBytes,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.ExternalJoinUncompressedBytes,ExternalJoinUncompressedBytes,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.ExternalProcessingCompressedBytesTotal,ExternalProcessingCompressedBytesTotal,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.ExternalProcessingUncompressedBytesTotal,ExternalProcessingUncompressedBytesTotal,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.ExternalSortCompressedBytes,ExternalSortCompressedBytes,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.ExternalSortUncompressedBytes,ExternalSortUncompressedBytes,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.events.MutatedUncompressedBytes,MutatedUncompressedBytes,system.events,FREE,PERFORMANCE,compression_performance
clickhouse.metrics.Compressing,Compressing,system.metrics,FREE,PERFORMANCE,compression_performance
clickhouse.metrics.Decompressing,Decompressing,system.metrics,FREE,PERFORMANCE,compression_performance
clickhouse.asynchronous_metrics.NetworkTCPSocketRemoteAddresses,NetworkTCPSocketRemoteAddresses,system.asynchronous_metrics,FREE,PERFORMANCE,connection_performance
clickhouse.events.InterfaceHTTPReceiveBytes,InterfaceHTTPReceiveBytes,system.events,FREE,PERFORMANCE,connection_performance
clickhouse.events.InterfaceHTTPSendBytes,InterfaceHTTPSendBytes,system.events,FREE,PERFORMANCE,connection_performance
clickhouse.asynchronous_metrics.CompiledExpressionCacheBytes,CompiledExpressionCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.CompiledExpressionCacheCount,CompiledExpressionCacheCount,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.MaxPartCountForPartition,MaxPartCountForPartition,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.NumberOfPendingMutations,NumberOfPendingMutations,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.NumberOfPendingMutationsOverExecutionTime,NumberOfPendingMutationsOverExecutionTime,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.NumberOfStuckMutations,NumberOfStuckMutations,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.OSThreadsRunnable,OSThreadsRunnable,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.asynchronous_metrics.OSThreadsTotal,OSThreadsTotal,system.asynchronous_metrics,FREE,PERFORMANCE,io_performance
clickhouse.events.AIORead,AIORead,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AIOReadBytes,AIOReadBytes,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AIOWrite,AIOWrite,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AIOWriteBytes,AIOWriteBytes,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AggregationHashTablesInitializedAsTwoLevel,AggregationHashTablesInitializedAsTwoLevel,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AggregationOptimizedEqualRangesOfKeys,AggregationOptimizedEqualRangesOfKeys,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AggregationPreallocatedElementsInHashTables,AggregationPreallocatedElementsInHashTables,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AsynchronousReaderIgnoredBytes,AsynchronousReaderIgnoredBytes,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureReadRequestsCount,AzureReadRequestsCount,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureReadRequestsRedirects,AzureReadRequestsRedirects,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureReadRequestsThrottling,AzureReadRequestsThrottling,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureWriteRequestsCount,AzureWriteRequestsCount,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureWriteRequestsRedirects,AzureWriteRequestsRedirects,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.AzureWriteRequestsThrottling,AzureWriteRequestsThrottling,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.BackupLockFileReads,BackupLockFileReads,system.events,FREE,PERFORMANCE,io_performance
clickhouse.events.BackupReadLocalBytesToCalculateChecksums,BackupReadLocalBytesToCalculateChecksums,system.events,FREE,PERFORMANCE,io_performance
