otel,dd,description,filter,transform
system.cpu.utilization,system.cpu.idle,"Difference in system.cpu.time since the last measurement, divided by the elapsed time and number of logical CPUs",`state`: `idle`,× 100
system.cpu.utilization,system.cpu.iowait,"Difference in system.cpu.time since the last measurement, divided by the elapsed time and number of logical CPUs",`state`: `wait`,× 100
system.cpu.utilization,system.cpu.stolen,"Difference in system.cpu.time since the last measurement, divided by the elapsed time and number of logical CPUs",`state`: `steal`,× 100
system.cpu.utilization,system.cpu.system,"Difference in system.cpu.time since the last measurement, divided by the elapsed time and number of logical CPUs",`state`: `system`,× 100
system.cpu.utilization,system.cpu.user,"Difference in system.cpu.time since the last measurement, divided by the elapsed time and number of logical CPUs",`state`: `user`,× 100
system.filesystem.utilization,system.disk.in_use,The amount of disk space in use as a percent of the total.,,
system.filesystem.utilization,system.disk.in_use,The amount of disk space in use as a fraction of the total.,,
system.memory.usage,system.mem.total,"Reports memory in use by state. Note: The sum over all `system.memory.state` values SHOULD equal the total memory available on the system, that is `system.memory.limit`.",,× 1048576
system.memory.usage,system.mem.usable,"Reports memory in use by state. Note: The sum over all `system.memory.state` values SHOULD equal the total memory available on the system, that is `system.memory.limit`.","`state`: `free, cached, buffered`",× 1048576
system.network.io,system.net.bytes_rcvd,The number of bytes received on a device per second.,`direction`: `receive`,
system.network.io,system.net.bytes_sent,The number of bytes sent from a device per second.,`direction`: `transmit`,
system.paging.usage,system.swap.free,Unix swap or windows pagefile usage,`state`: `free`,× 1048576
system.paging.usage,system.swap.used,Unix swap or windows pagefile usage,`state`: `used`,× 1048576
