metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
sonarqube.maintainability.new_maintainability_rating,gauge,,,,Maintainability rating on new code,-1,sonarqube,
sonarqube.maintainability.new_sqale_debt_ratio,gauge,,percent,,Technical Debt Ratio of new/changed code.,-1,sonarqube,
sonarqube.maintainability.sqale_debt_ratio,gauge,,percent,,Ratio of the actual technical debt compared to the estimated cost to develop the whole source code from scratch,-1,sonarqube,
sonarqube.maintainability.sqale_rating,gauge,,,,A-to-E rating based on the technical debt ratio,-1,sonarqube,
sonarqube.reliability.bugs,gauge,,,,Bugs,-1,sonarqube,
sonarqube.reliability.new_bugs,gauge,,,,New Bugs,-1,sonarqube,
sonarqube.reliability.new_reliability_rating,gauge,,,,Reliability rating on new code,-1,sonarqube,
sonarqube.reliability.reliability_rating,gauge,,,,Reliability rating,-1,sonarqube,
sonarqube.security.new_security_rating,gauge,,,,Security rating on new code,-1,sonarqube,
sonarqube.security.new_vulnerabilities,gauge,,,,New Vulnerabilities,-1,sonarqube,
sonarqube.security.security_rating,gauge,,,,Security rating,-1,sonarqube,
sonarqube.security.vulnerabilities,gauge,,,,Vulnerabilities,-1,sonarqube,
sonarqube.security_review.new_security_hotspots,gauge,,,,New Security Hotspots,-1,sonarqube,
sonarqube.security_review.new_security_hotspots_reviewed,gauge,,percent,,Percentage of Security Hotspots Reviewed on New Code,1,sonarqube,
sonarqube.security_review.new_security_review_rating,gauge,,,,Security Review Rating on New Code,-1,sonarqube,
sonarqube.security_review.security_hotspots,gauge,,,,Security Hotspots,-1,sonarqube,
sonarqube.security_review.security_hotspots_reviewed,gauge,,percent,,Percentage of Security Hotspots Reviewed,1,sonarqube,
sonarqube.security_review.security_review_rating,gauge,,,,Security Review Rating,-1,sonarqube,
sonarqube.size.classes,gauge,,,,Classes,-1,sonarqube,
sonarqube.size.comment_lines,gauge,,,,Number of comment lines,1,sonarqube,
sonarqube.size.comment_lines_density,gauge,,percent,,Comments balanced by ncloc + comment lines,1,sonarqube,
sonarqube.size.directories,gauge,,,,Directories,-1,sonarqube,
sonarqube.size.files,gauge,,,,Number of files,-1,sonarqube,
sonarqube.size.functions,gauge,,,,Functions,-1,sonarqube,
sonarqube.size.generated_lines,gauge,,,,Number of generated lines,-1,sonarqube,
sonarqube.size.generated_ncloc,gauge,,,,Generated non Commenting Lines of Code,-1,sonarqube,
sonarqube.size.lines,gauge,,,,Lines,-1,sonarqube,
sonarqube.size.ncloc,gauge,,,,Non commenting lines of code,-1,sonarqube,
sonarqube.size.new_lines,gauge,,,,New lines,-1,sonarqube,
sonarqube.size.projects,gauge,,,,Number of projects,-1,sonarqube,
sonarqube.size.statements,gauge,,,,Number of statements,-1,sonarqube,
