metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
system.battery.charge_rate,gauge,,milliwatt,,The current rate of battery charge or discharge,0,battery,,,
system.battery.current_charge_pct,gauge,,percent,,The current percentage of battery charge,1,battery,,,
system.battery.cycle_count,gauge,,,,The number of charge/discharge cycles the battery has experienced,-1,battery,,,
system.battery.designed_capacity,gauge,,milliwatt-hour,,The theoretical capacity of the battery when new,0,battery,,,
system.battery.maximum_capacity,gauge,,milliwatt-hour,,The battery's current fully charged capacity,1,battery,,,
system.battery.maximum_capacity_pct,gauge,,percent,,The percentage of maximum battery capacity relative to when it was new,1,battery,,,
system.battery.power_state,gauge,,,,The current state of the battery. Reports 1 if the battery has a valid state and 0 if no state is available,0,battery,,,
system.battery.voltage,gauge,,millivolt,,The current battery voltage across the battery terminals,0,battery,,,
