metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
lustre.device.health,gauge,,,,Health status of Lustre device,0,lustre,device health,,
lustre.device.refcount,count,,,,Reference count for Lustre device,0,lustre,device refcount,,
lustre.filesystem.blocksize,gauge,,byte,,Filesystem block size in bytes,0,lustre,filesystem blocksize,,
lustre.filesystem.checksum_pages,gauge,,,,Returns '1' if data checksumming is enabled for the client,0,lustre,filesystem checksum pages,,
lustre.filesystem.close.count,count,,,,Number of file close operations,0,lustre,fs close count,,
lustre.filesystem.close.max,gauge,,microsecond,,Maximum file close operation time,0,lustre,fs close max,,
lustre.filesystem.close.min,gauge,,microsecond,,Minimum file close operation time,0,lustre,fs close min,,
lustre.filesystem.close.sum,gauge,,microsecond,,Total file close operation time,0,lustre,fs close sum,,
lustre.filesystem.close.sumsq,gauge,,,,Sum of squares for file close operation times,0,lustre,fs close sumsq,,
lustre.filesystem.default_easize,gauge,,byte,,Default Extended Attribute (EA) size in bytes,0,lustre,filesystem default easize,,
lustre.filesystem.enable_filename_encryption,gauge,,,,Returns '1' if filename encryption is enabled,0,lustre,filesystem enable filename encryption,,
lustre.filesystem.enable_setstripe_gid,gauge,,,,Returns '1' if setstripe GID is enabled,0,lustre,filesystem enable setstripe gid,,
lustre.filesystem.enable_statahead_fname,gauge,,,,Returns '1' if statahead by filename is enabled,0,lustre,filesystem enable statahead fname,,
lustre.filesystem.fast_read,gauge,,,,Returns '1' if fast read is enabled,0,lustre,filesystem fast read,,
lustre.filesystem.file_heat,gauge,,,,File heat metric,0,lustre,filesystem file heat,,
lustre.filesystem.filename_enc_use_old_base64,gauge,,,,Returns '1' if old base64 encoding is used for filename encryption,0,lustre,filesystem filename enc use old base64,,
lustre.filesystem.filesfree,gauge,,inode,,The number of inodes (objects) available,0,lustre,filesystem filesfree,,
lustre.filesystem.filestotal,gauge,,inode,,The maximum number of inodes (objects) the filesystem can hold,0,lustre,filesystem filestotal,,
lustre.filesystem.fsync.count,count,,,,Number of filesystem sync operations,0,lustre,fs fsync count,,
lustre.filesystem.fsync.max,gauge,,microsecond,,Maximum filesystem sync operation time,0,lustre,fs fsync max,,
lustre.filesystem.fsync.min,gauge,,microsecond,,Minimum filesystem sync operation time,0,lustre,fs fsync min,,
lustre.filesystem.fsync.sum,gauge,,microsecond,,Total filesystem sync operation time,0,lustre,fs fsync sum,,
lustre.filesystem.fsync.sumsq,gauge,,,,Sum of squares for filesystem sync operation times,0,lustre,fs fsync sumsq,,
lustre.filesystem.getattr.count,count,,,,Number of get attribute operations,0,lustre,fs getattr count,,
lustre.filesystem.getattr.max,gauge,,microsecond,,Maximum get attribute operation time,0,lustre,fs getattr max,,
lustre.filesystem.getattr.min,gauge,,microsecond,,Minimum get attribute operation time,0,lustre,fs getattr min,,
lustre.filesystem.getattr.sum,gauge,,microsecond,,Total get attribute operation time,0,lustre,fs getattr sum,,
lustre.filesystem.getattr.sumsq,gauge,,,,Sum of squares for get attribute operation times,0,lustre,fs getattr sumsq,,
lustre.filesystem.getxattr.count,count,,,,Number of get extended attribute operations,0,lustre,fs getxattr count,,
lustre.filesystem.getxattr.max,gauge,,microsecond,,Maximum get extended attribute operation time,0,lustre,fs getxattr max,,
lustre.filesystem.getxattr.min,gauge,,microsecond,,Minimum get extended attribute operation time,0,lustre,fs getxattr min,,
lustre.filesystem.getxattr.sum,gauge,,microsecond,,Total get extended attribute operation time,0,lustre,fs getxattr sum,,
lustre.filesystem.getxattr.sumsq,gauge,,,,Sum of squares for get extended attribute operation times,0,lustre,fs getxattr sumsq,,
lustre.filesystem.hybrid_io_read_threshold_bytes,gauge,,byte,,Hybrid I/O read threshold in bytes,0,lustre,filesystem hybrid io read threshold bytes,,
lustre.filesystem.hybrid_io_write_threshold_bytes,gauge,,byte,,Hybrid I/O write threshold in bytes,0,lustre,filesystem hybrid io write threshold bytes,,
lustre.filesystem.inode_cache,gauge,,,,Returns '1' if inode cache is enabled,0,lustre,filesystem inode cache,,
lustre.filesystem.inode_permission.count,count,,,,Number of inode permission operations,0,lustre,fs inode permission count,,
lustre.filesystem.inode_permission.max,gauge,,microsecond,,Maximum inode permission operation time,0,lustre,fs inode permission max,,
lustre.filesystem.inode_permission.min,gauge,,microsecond,,Minimum inode permission operation time,0,lustre,fs inode permission min,,
lustre.filesystem.inode_permission.sum,gauge,,microsecond,,Total inode permission operation time,0,lustre,fs inode permission sum,,
lustre.filesystem.inode_permission.sumsq,gauge,,,,Sum of squares for inode permission operation times,0,lustre,fs inode permission sumsq,,
lustre.filesystem.intent_mkdir,gauge,,,,Returns '1' if intent mkdir is enabled,0,lustre,filesystem intent mkdir,,
lustre.filesystem.ioctl.count,count,,,,Number of ioctl operations,0,lustre,fs ioctl count,,
lustre.filesystem.kbytesavail,gauge,,kilobyte,,Number of kilobytes readily available in the pool,0,lustre,filesystem kbytesavail,,
lustre.filesystem.kbytesfree,gauge,,kilobyte,,Number of kilobytes allocated to the pool,0,lustre,filesystem kbytesfree,,
lustre.filesystem.kbytestotal,gauge,,kilobyte,,Capacity of the pool in kilobytes,0,lustre,filesystem kbytestotal,,
lustre.filesystem.lazystatfs,gauge,,,,Returns '1' if lazystatfs (a non-blocking alternative to statfs) is enabled for the client,0,lustre,filesystem lazystatfs,,
lustre.filesystem.max_easize,gauge,,byte,,Maximum Extended Attribute (EA) size in bytes,0,lustre,filesystem max easize,,
lustre.filesystem.max_read_ahead_mb,gauge,,megabyte,,Maximum number of megabytes to read ahead,0,lustre,filesystem max read ahead mb,,
lustre.filesystem.max_read_ahead_per_file_mb,gauge,,megabyte,,Maximum number of megabytes per file to read ahead,0,lustre,filesystem max read ahead per file mb,,
lustre.filesystem.max_read_ahead_whole_mb,gauge,,megabyte,,Maximum file size in megabytes for a file to be read in its entirety,0,lustre,filesystem max read ahead whole mb,,
lustre.filesystem.mkdir.count,count,,,,Number of mkdir operations,0,lustre,fs mkdir count,,
lustre.filesystem.mkdir.max,gauge,,microsecond,,Maximum mkdir operation time,0,lustre,fs mkdir max,,
lustre.filesystem.mkdir.min,gauge,,microsecond,,Minimum mkdir operation time,0,lustre,fs mkdir min,,
lustre.filesystem.mkdir.sum,gauge,,microsecond,,Total mkdir operation time,0,lustre,fs mkdir sum,,
lustre.filesystem.mkdir.sumsq,gauge,,,,Sum of squares for mkdir operation times,0,lustre,fs mkdir sumsq,,
lustre.filesystem.mknod.count,count,,,,Number of device/special file creation operations,0,lustre,fs mknod count,,
lustre.filesystem.mknod.max,gauge,,microsecond,,Maximum mknod operation time,0,lustre,fs mknod max,,
lustre.filesystem.mknod.min,gauge,,microsecond,,Minimum mknod operation time,0,lustre,fs mknod min,,
lustre.filesystem.mknod.sum,gauge,,microsecond,,Total mknod operation time,0,lustre,fs mknod sum,,
lustre.filesystem.mknod.sumsq,gauge,,,,Sum of squares for mknod operation times,0,lustre,fs mknod sumsq,,
lustre.filesystem.open.count,count,,,,Number of open operations,0,lustre,fs open count,,
lustre.filesystem.open.max,gauge,,microsecond,,Maximum open operation time,0,lustre,fs open max,,
lustre.filesystem.open.min,gauge,,microsecond,,Minimum open operation time,0,lustre,fs open min,,
lustre.filesystem.open.sum,gauge,,microsecond,,Total open operation time,0,lustre,fs open sum,,
lustre.filesystem.open.sumsq,gauge,,,,Sum of squares for open operation times,0,lustre,fs open sumsq,,
lustre.filesystem.openclosetime.count,count,,,,Number of open/close operations,0,lustre,fs open/close count,,
lustre.filesystem.openclosetime.max,gauge,,microsecond,,Maximum open/close operation time,0,lustre,fs open/close max,,
lustre.filesystem.openclosetime.min,gauge,,microsecond,,Minimum open/close operation time,0,lustre,fs open/close min,,
lustre.filesystem.openclosetime.sum,gauge,,microsecond,,Total open/close operation time,0,lustre,fs open/close sum,,
lustre.filesystem.openclosetime.sumsq,gauge,,,,Sum of squares for open/close operation times,0,lustre,fs open/close sumsq,,
lustre.filesystem.opencount.count,count,,,,Number of open file handles,0,lustre,fs open count,,
lustre.filesystem.opencount.max,gauge,,,,Maximum number of open file handles,0,lustre,fs open max,,
lustre.filesystem.opencount.min,gauge,,,,Minimum number of open file handles,0,lustre,fs open min,,
lustre.filesystem.opencount.sum,gauge,,,,Total number of open file handles,0,lustre,fs open sum,,
lustre.filesystem.opencount.sumsq,gauge,,,,Sum of squares for open file handle counts,0,lustre,fs open sumsq,,
lustre.filesystem.read.count,count,,,,Number of read operations,0,lustre,fs read count,,
lustre.filesystem.read.max,gauge,,microsecond,,Maximum read operation time,0,lustre,fs read max,,
lustre.filesystem.read.min,gauge,,microsecond,,Minimum read operation time,0,lustre,fs read min,,
lustre.filesystem.read.sum,gauge,,microsecond,,Total read operation time,0,lustre,fs read sum,,
lustre.filesystem.read.sumsq,gauge,,,,Sum of squares for read operation times,0,lustre,fs read sumsq,,
lustre.filesystem.read_bytes.count,count,,,,Number of read bytes operations,0,lustre,fs read bytes count,,
lustre.filesystem.read_bytes.max,gauge,,byte,,Maximum number of bytes read in a single operation,0,lustre,fs read bytes max,,
lustre.filesystem.read_bytes.min,gauge,,byte,,Minimum number of bytes read in a single operation,0,lustre,fs read bytes min,,
lustre.filesystem.read_bytes.sum,gauge,,byte,,Total number of bytes read,0,lustre,fs read bytes sum,,
lustre.filesystem.read_bytes.sumsq,gauge,,,,Sum of squares for bytes read,0,lustre,fs read bytes sumsq,,
lustre.filesystem.readdir.count,count,,,,Number of readdir operations,0,lustre,fs readdir count,,
lustre.filesystem.readdir.max,gauge,,microsecond,,Maximum readdir operation time,0,lustre,fs readdir max,,
lustre.filesystem.readdir.min,gauge,,microsecond,,Minimum readdir operation time,0,lustre,fs readdir min,,
lustre.filesystem.readdir.sum,gauge,,microsecond,,Total readdir operation time,0,lustre,fs readdir sum,,
lustre.filesystem.readdir.sumsq,gauge,,,,Sum of squares for readdir operation times,0,lustre,fs readdir sumsq,,
lustre.filesystem.rename.count,count,,,,Number of rename operations,0,lustre,fs rename count,,
lustre.filesystem.rename.max,gauge,,microsecond,,Maximum rename operation time,0,lustre,fs rename max,,
lustre.filesystem.rename.min,gauge,,microsecond,,Minimum rename operation time,0,lustre,fs rename min,,
lustre.filesystem.rename.sum,gauge,,microsecond,,Total rename operation time,0,lustre,fs rename sum,,
lustre.filesystem.rename.sumsq,gauge,,,,Sum of squares for rename operation times,0,lustre,fs rename sumsq,,
lustre.filesystem.rmdir.count,count,,,,Number of rmdir operations,0,lustre,fs rmdir count,,
lustre.filesystem.rmdir.max,gauge,,microsecond,,Maximum rmdir operation time,0,lustre,fs rmdir max,,
lustre.filesystem.rmdir.min,gauge,,microsecond,,Minimum rmdir operation time,0,lustre,fs rmdir min,,
lustre.filesystem.rmdir.sum,gauge,,microsecond,,Total rmdir operation time,0,lustre,fs rmdir sum,,
lustre.filesystem.rmdir.sumsq,gauge,,,,Sum of squares for rmdir operation times,0,lustre,fs rmdir sumsq,,
lustre.filesystem.seek.count,count,,,,Number of seek operations,0,lustre,fs seek count,,
lustre.filesystem.seek.max,gauge,,microsecond,,Maximum seek operation time,0,lustre,fs seek max,,
lustre.filesystem.seek.min,gauge,,microsecond,,Minimum seek operation time,0,lustre,fs seek min,,
lustre.filesystem.seek.sum,gauge,,microsecond,,Total seek operation time,0,lustre,fs seek sum,,
lustre.filesystem.seek.sumsq,gauge,,,,Sum of squares for seek operation times,0,lustre,fs seek sumsq,,
lustre.filesystem.setattr.count,count,,,,Number of setattr operations,0,lustre,fs setattr count,,
lustre.filesystem.setattr.max,gauge,,microsecond,,Maximum setattr operation time,0,lustre,fs setattr max,,
lustre.filesystem.setattr.min,gauge,,microsecond,,Minimum setattr operation time,0,lustre,fs setattr min,,
lustre.filesystem.setattr.sum,gauge,,microsecond,,Total setattr operation time,0,lustre,fs setattr sum,,
lustre.filesystem.setattr.sumsq,gauge,,,,Sum of squares for setattr operation times,0,lustre,fs setattr sumsq,,
lustre.filesystem.setxattr.count,count,,,,Number of set extended attribute operations,0,lustre,fs setxattr count,,
lustre.filesystem.setxattr.max,gauge,,microsecond,,Maximum set extended attribute operation time,0,lustre,fs setxattr max,,
lustre.filesystem.setxattr.min,gauge,,microsecond,,Minimum set extended attribute operation time,0,lustre,fs setxattr min,,
lustre.filesystem.setxattr.sum,gauge,,microsecond,,Total set extended attribute operation time,0,lustre,fs setxattr sum,,
lustre.filesystem.setxattr.sumsq,gauge,,,,Sum of squares for set extended attribute operation times,0,lustre,fs setxattr sumsq,,
lustre.filesystem.statahead_agl,gauge,,,,Returns '1' if the Asynchronous Glimpse Lock (AGL) for statahead is enabled,0,lustre,filesystem statahead agl,,
lustre.filesystem.statahead_max,gauge,,,,Maximum window size for statahead,0,lustre,filesystem statahead max,,
lustre.filesystem.truncate.count,count,,,,Number of truncate operations,0,lustre,fs truncate count,,
lustre.filesystem.truncate.max,gauge,,microsecond,,Maximum truncate operation time,0,lustre,fs truncate max,,
lustre.filesystem.truncate.min,gauge,,microsecond,,Minimum truncate operation time,0,lustre,fs truncate min,,
lustre.filesystem.truncate.sum,gauge,,microsecond,,Total truncate operation time,0,lustre,fs truncate sum,,
