metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
harbor.projects.count,gauge,,object,,The total number of projects.,0,harbor,nb projects
harbor.projects,gauge,,object,,Submitted with a value of 1 for each project and tagged with availability (public or private) and the project owner name. Sum this metric by 'public:true' to see the number of public projects.,0,harbor,projects
harbor.disk.free,gauge,,byte,,The amount of storage space that is free.,0,harbor,disk free
harbor.disk.total,gauge,,byte,,The total amount of storage space.,0,harbor,disk total
