path,has_ordered_layout,has_ungrouped_widgets,has_all_title_case_groups,has_overview_section,about_section_contains_text,about_section_contains_banner_img,total_query_values,query_values_have_timeseries_background,query_values_have_conditional_formats,total_widgets_legends,widgets_legends_shown
istio/assets/dashboards/overview.json,True,False,True,True,False,False,2,0,0,47,46
istio/assets/dashboards/istio_overview.json,False,True,True,False,False,False,0,0,0,0,0
istio/assets/dashboards/istio_1_5_openmetrics_overview.json,False,True,True,False,False,False,0,0,0,0,0
istio/assets/dashboards/istio_1_5_overview.json,False,True,True,False,False,False,0,0,0,0,0
php_fpm/assets/dashboards/php-fpm_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
cisco_umbrella_dns/assets/dashboards/cisco_umbrella_dns_dns_traffic.json,True,False,True,True,False,False,4,0,4,2,2
cisco_umbrella_dns/assets/dashboards/cisco_umbrella_dns_proxied_traffic.json,True,False,True,True,False,False,3,0,3,4,2
elastic/assets/dashboards/metrics.json,True,True,True,False,False,False,0,0,0,0,0
elastic/assets/dashboards/overview.json,True,False,False,True,True,True,6,0,5,14,9
couch/assets/dashboards/CouchDBv1-overview_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
couch/assets/dashboards/CouchDB-overview_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
langchain/assets/dashboards/overview_dashboard.json,True,False,False,True,False,False,8,5,0,11,10
flink/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
exchange_server/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
voltdb/assets/dashboards/voltdb_overview.json,False,True,True,False,False,False,0,0,0,0,0
jboss_wildfly/assets/dashboards/jboss_wildfly.json,False,True,True,False,False,False,0,0,0,0,0
ignite/assets/dashboards/ignite_overview.json,False,True,True,False,False,False,0,0,0,0,0
ceph/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
systemd/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
argocd/assets/dashboards/argo_cd_overview.json,True,False,True,True,False,True,3,0,0,38,38
esxi/assets/dashboards/overview.json,True,False,False,True,False,True,2,0,0,10,10
boundary/assets/dashboards/boundary_overview.json,True,False,False,True,False,True,1,0,0,10,10
win32_event_log/assets/dashboards/windows_event_log_overview.json,True,False,False,True,False,True,5,1,5,3,1
twemproxy/assets/dashboards/twemproxy_overview.json,True,True,True,False,False,False,8,0,2,12,0
arangodb/assets/dashboards/arangodb_overview.json,True,True,False,False,False,True,21,4,2,16,16
snmp_f5/assets/dashboards/f5-networks.json,True,True,False,False,False,False,3,0,0,44,40
fluxcd/assets/dashboards/fluxcd.json,True,False,True,True,False,False,4,4,2,8,7
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_threat_detection.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_user_authentication.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_transparent_firewall.json,True,True,True,False,False,False,2,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_ospf_and_rip_routing.json,True,True,False,False,False,False,0,0,0,1,1
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_application_and_identity_firewall.json,True,True,False,False,False,False,3,0,0,1,1
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_intrusion_protection_system.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_snmp.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_overview.json,True,True,False,False,False,False,18,0,0,18,18
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_security_events.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_command_interface.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_failover.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_vpn_failover.json,True,True,True,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_ip_stack.json,True,True,False,False,False,False,0,0,0,0,0
cisco_secure_firewall/assets/dashboards/cisco_secure_firewall_resource_manager.json,True,True,True,False,False,False,0,0,0,0,0
oracle/assets/dashboards/dbm_oracle_database_overview.json,True,False,False,False,False,False,0,0,0,55,55
oracle/assets/dashboards/oracle_overview.json,False,True,True,False,False,False,0,0,0,0,0
jmeter/assets/dashboards/JMeterOverview.json,True,True,False,False,False,False,3,0,1,3,3
kube_scheduler/assets/dashboards/overview.json,True,False,False,False,False,True,0,0,0,15,2
