metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
pinot.broker.jmx_config_reload_failure_created,gauge,,,,Number of times configuration have failed to be reloaded.,0,pinot.broker,,
pinot.broker.jmx_config_reload_failure_total,count,,,,Number of times configuration have failed to be reloaded.,0,pinot.broker,,
pinot.broker.jmx_config_reload_success_created,gauge,,,,Number of times configuration have successfully been reloaded.,0,pinot.broker,,
pinot.broker.jmx_config_reload_success_total,count,,,,Number of times configuration have successfully been reloaded.,0,pinot.broker,,
pinot.broker.jmx_exporter_build_info,gauge,,,,A metric with a constant '1' value labeled with the version of the JMX exporter.,0,pinot.broker,,
pinot.broker.jmx_scrape_cached_beans,gauge,,,,Number of beans with their matching rule cached,0,pinot.broker,,
pinot.broker.jmx_scrape_duration_seconds,gauge,,,,"Time this JMX scrape took, in seconds.",0,pinot.broker,,
pinot.broker.jmx_scrape_error,gauge,,,,Non-zero if this scrape failed.,0,pinot.broker,,
pinot.broker.jvm_buffer_pool_capacity_bytes,gauge,,,,Bytes capacity of a given JVM buffer pool.,0,pinot.broker,,
pinot.broker.jvm_buffer_pool_used_buffers,gauge,,,,Used buffers of a given JVM buffer pool.,0,pinot.broker,,
pinot.broker.jvm_buffer_pool_used_bytes,gauge,,,,Used bytes of a given JVM buffer pool.,0,pinot.broker,,
pinot.broker.jvm_classes_currently_loaded,gauge,,,,The number of classes that are currently loaded in the JVM,0,pinot.broker,,
pinot.broker.jvm_classes_loaded_total,count,,,,The total number of classes that have been loaded since the JVM has started execution,0,pinot.broker,,
pinot.broker.jvm_classes_unloaded_total,count,,,,The total number of classes that have been unloaded since the JVM has started execution,0,pinot.broker,,
pinot.broker.jvm_gc_collection_seconds,gauge,,,,Time spent in a given JVM garbage collector in seconds.,0,pinot.broker,,
pinot.broker.jvm_info,gauge,,,,VM version info,0,pinot.broker,,
pinot.broker.jvm_memory_bytes_committed,gauge,,,,Committed (bytes) of a given JVM memory area.,0,pinot.broker,,
pinot.broker.jvm_memory_bytes_init,gauge,,,,Initial bytes of a given JVM memory area.,0,pinot.broker,,
pinot.broker.jvm_memory_bytes_max,gauge,,,,Max (bytes) of a given JVM memory area.,0,pinot.broker,,
pinot.broker.jvm_memory_bytes_used,gauge,,,,Used bytes of a given JVM memory area.,0,pinot.broker,,
pinot.broker.jvm_memory_objects_pending_finalization,gauge,,,,The number of objects waiting in the finalizer queue.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_allocated_bytes_created,gauge,,,,"Total bytes allocated in a given JVM memory pool. Only updated after GC, not continuously.",0,pinot.broker,,
pinot.broker.jvm_memory_pool_allocated_bytes_total,count,,,,"Total bytes allocated in a given JVM memory pool. Only updated after GC, not continuously.",0,pinot.broker,,
pinot.broker.jvm_memory_pool_bytes_committed,gauge,,,,Committed bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_bytes_init,gauge,,,,Initial bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_bytes_max,gauge,,,,Max bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_bytes_used,gauge,,,,Used bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_collection_committed_bytes,gauge,,,,Committed after last collection bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_collection_init_bytes,gauge,,,,Initial after last collection bytes of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_collection_max_bytes,gauge,,,,Max bytes after last collection of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_memory_pool_collection_used_bytes,gauge,,,,Used bytes after last collection of a given JVM memory pool.,0,pinot.broker,,
pinot.broker.jvm_threads_current,gauge,,,,Current thread count of a JVM,0,pinot.broker,,
pinot.broker.jvm_threads_daemon,gauge,,,,Daemon thread count of a JVM,0,pinot.broker,,
pinot.broker.jvm_threads_deadlocked,gauge,,,,Cycles of JVM-threads that are in deadlock waiting to acquire object monitors or ownable synchronizers,0,pinot.broker,,
pinot.broker.jvm_threads_deadlocked_monitor,gauge,,,,Cycles of JVM-threads that are in deadlock waiting to acquire object monitors,0,pinot.broker,,
pinot.broker.jvm_threads_peak,gauge,,,,Peak thread count of a JVM,0,pinot.broker,,
pinot.broker.jvm_threads_started_total,count,,,,Started thread count of a JVM,0,pinot.broker,,
pinot.broker.jvm_threads_state,gauge,,,,Current count of threads by state,0,pinot.broker,,
pinot.broker.pinot_broker_NO_OP_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.adaptiveServerSelectorType.NO_OP",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot.broker.pinot_broker_adaptiveServerSelectorType_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.adaptiveServerSelectorType",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_50thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=50thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_75thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=75thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_95thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=95thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_98thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=98thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_999thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=999thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_99thPercentile,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=99thPercentile",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_Max,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=Max",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_Mean,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=Mean",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_Min,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=Min",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot.broker.pinot_broker_clusterChangeQueueTime_StdDev,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.clusterChangeQueueTime",type="BrokerMetrics",attribute=StdDev",0,pinot.broker,,
pinot.broker.pinot_broker_directMemoryOom_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.directMemoryOom",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot.broker.pinot_broker_directMemoryOom_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.directMemoryOom",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
