metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
couchdb.couchdb.dbinfo.arithmetic_mean,gauge,,millisecond,,Arithmetic_mean of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.geometric_mean,gauge,,millisecond,,Geometric_mean of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.harmonic_mean,gauge,,millisecond,,Harmonic_mean of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.median,gauge,,millisecond,,Median of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.variance,gauge,,millisecond,,Variance of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.standard_deviation,gauge,,millisecond,,Standard_deviation of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.skewness,gauge,,millisecond,,Skewness of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.kurtosis,gauge,,millisecond,,Kurtosis of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.50,gauge,,millisecond,,Percentile 50 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.75,gauge,,millisecond,,Percentile 75 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.90,gauge,,millisecond,,Percentile 90 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.95,gauge,,millisecond,,Percentile 95 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.99,gauge,,millisecond,,Percentile 99 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.percentile.999,gauge,,millisecond,,Percentile 999 of the distribution of latencies for calls to retrieve DB info,-1,couchdb2,
couchdb.couchdb.dbinfo.n,gauge,,millisecond,,N of the distribution of latencies for calls to retrieve DB info,0,couchdb2,
couchdb.couchdb.mrview.map_doc,gauge,,document,,number of documents mapped in the view server,0,couchdb2,
couchdb.couchdb.mrview.emits,gauge,,document,,number of invocations of `emit' in map functions in the view server,0,couchdb2,
couchdb.couchdb.auth_cache_hits,gauge,,hit,,number of authentication cache hits,1,couchdb2,
couchdb.couchdb.auth_cache_misses,gauge,,miss,,number of authentication cache misses,-1,couchdb2,
couchdb.couchdb.collect_results_time.min,gauge,,microsecond,,Min of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.max,gauge,,microsecond,,Max of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.arithmetic_mean,gauge,,microsecond,,Arithmetic_mean of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.geometric_mean,gauge,,microsecond,,Geometric_mean of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.harmonic_mean,gauge,,microsecond,,Harmonic_mean of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.median,gauge,,microsecond,,Median of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.variance,gauge,,microsecond,,Variance of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.standard_deviation,gauge,,microsecond,,Standard_deviation of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.skewness,gauge,,microsecond,,Skewness of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.kurtosis,gauge,,microsecond,,Kurtosis of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.50,gauge,,microsecond,,Percentile 50 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.75,gauge,,microsecond,,Percentile 75 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.90,gauge,,microsecond,,Percentile 90 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.95,gauge,,microsecond,,Percentile 95 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.99,gauge,,microsecond,,Percentile 99 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.percentile.999,gauge,,microsecond,,Percentile 999 of the microsecond latency for calls to couch_db:collect_results/3,-1,couchdb2,
couchdb.couchdb.collect_results_time.n,gauge,,microsecond,,N of the microsecond latency for calls to couch_db:collect_results/3,0,couchdb2,
couchdb.couchdb.database_writes,gauge,,write,,number of times a database was changed,0,couchdb2,
couchdb.couchdb.database_reads,gauge,,read,,number of times a document was read from a database,0,couchdb2,
couchdb.couchdb.db_open_time.min,gauge,,millisecond,,Min of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.max,gauge,,millisecond,,Max of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.arithmetic_mean,gauge,,millisecond,,Arithmetic_mean of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.geometric_mean,gauge,,millisecond,,Geometric_mean of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.harmonic_mean,gauge,,millisecond,,Harmonic_mean of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.median,gauge,,millisecond,,Median of the milliseconds required to open a database,-1,couchdb2,
