metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
memcache.slabs.chunk_size,gauge,,byte,,The amount of space each chunk uses,0,memcached,chnk size
memcache.slabs.chunks_per_page,gauge,,buffer,,How many chunks exist within one page,0,memcached,chnk per page
memcache.slabs.total_pages,gauge,,page,,Total number of pages allocated to the slab class,0,memcached,tot pages
memcache.slabs.total_chunks,gauge,,buffer,,Total number of chunks allocated to the slab class,0,memcached,tot chnks
memcache.slabs.used_chunks,gauge,,buffer,,How many chunks have been allocated to items,0,memcached,used chnks
memcache.slabs.free_chunks,gauge,,buffer,,Chunks not yet allocated to items or freed via delete,0,memcached,free chnks
memcache.slabs.free_chunks_end,gauge,,buffer,,Number of free chunks at the end of the last allocated page,0,memcached,free chnks end
memcache.slabs.mem_requested,gauge,,byte,,Number of bytes requested to be stored in this slab,0,memcached,mem req
memcache.slabs.active_slabs,gauge,,occurrence,,Total number of slab classes allocated,0,memcached,actv slabs
memcache.slabs.total_malloced,gauge,,byte,,Total amount of memory allocated to slab pages,0,memcached,tot mallocd
