metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
external_dns.controller.last_sync,gauge,,second,,Timestamp of last successful sync with the DNS provider,0,external_dns,controller last sync timestamp,,
external_dns.controller.verified_a_records,gauge,,record,,Number of DNS A-records that exist both in source and registry (before v1.18),0,external_dns,verified a records,,
external_dns.controller.verified_aaaa_records,gauge,,record,,Number of DNS AAAA-records that exist both in source and registry (before v1.18),0,external_dns,verified aaaa records,,
external_dns.controller.verified_records,gauge,,record,,Number of DNS records that exist both in source and registry (v1.18+),0,external_dns,verified records,,
external_dns.http.request.duration_seconds.count,count,,request,,Total count of HTTP requests (v1.18+),0,external_dns,http request count,,
external_dns.http.request.duration_seconds.quantile,gauge,,second,,HTTP request latency quantiles (v1.18+),0,external_dns,http request duration,,
external_dns.http.request.duration_seconds.sum,count,,second,,Total HTTP request duration (v1.18+),0,external_dns,http request duration sum,,
external_dns.registry.a_records,gauge,,record,,Number of registry A records (before v1.18),0,external_dns,registry a records,,
external_dns.registry.aaaa_records,gauge,,record,,Number of registry AAAA records (before v1.18),0,external_dns,registry aaaa records,,
external_dns.registry.endpoints.total,gauge,,resource,,Number of registry endpoints,0,external_dns,registry endpoints,,
external_dns.registry.errors.total,count,,error,,Number of registry errors,-1,external_dns,registry errors,,
external_dns.registry.records,gauge,,record,,Number of registry records by record type (v1.18+),0,external_dns,registry records,,
external_dns.source.a_records,gauge,,record,,Number of source A records (before v1.18),0,external_dns,source a records,,
external_dns.source.aaaa_records,gauge,,record,,Number of source AAAA records (before v1.18),0,external_dns,source aaaa records,,
external_dns.source.endpoints.total,gauge,,resource,,Number of source endpoints,0,external_dns,source endpoints,,
external_dns.source.errors.total,count,,error,,Number of source errors,-1,external_dns,source errors,,
external_dns.source.records,gauge,,record,,Number of source records by record type (v1.18+),0,external_dns,source records,,
